940.68	12500	3618.25	15000	66600	81000	47340	240000	15000	80000	15000	-1	-1	20000	4658	15000	20000	-1	46450	100000	50000
535.08	2000	6861	15000	24950	81000	7650	240000	15000	80000	15000	2000	2000	20000	19445	10000	20000	-1	11750	100000	120000
136.48	-1	-1	15000	17600	-1	13280	-1	-1	-1	-1	-1	-1	10000	1706	7000	-1	-1	-1	-1	-1
856.4	6000	-1	-1	-1	-1	-1	-1	24000	-1	-1	-1	-1	-1	-1	-1	20000	-1	-1	-1	30000
491.24	6000	3744.66	15000	54350	-1	6300	-1	24000	-1	15000	-1	-1	30000	12998	30000	20000	-1	15150	-1	30000
1101.64	7500	6513.33	15000	42100	81000	70650	240000	24000	-1	15000	8000	8000	30000	30018	15000	20000	-1	27500	100000	200000
773	800	-1	-1	-1	-1	1120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	100000	8000
286.48	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20000	-1	500	-1	2000
